bracket_content,normalized_content,match_index_in_title,keyword,platform,pid,name,price,status,link
아이폰 17프로,아이폰 17프로,1,아이폰 17 프로,번개장터,404034399,[아이폰 17프로] 어반소피스티케이션 헬로키티 스터즈,180000,판매중,https://m.bunjang.co.kr/products/404034399
미개봉,미개봉,1,아이폰 17 프로,번개장터,403754920,[미개봉]케이스티파이 아이폰17 프로 파워퍼프걸 블로섬 케이스,70000,판매중,https://m.bunjang.co.kr/products/403754920
미사용/특가,미사용/특가,1,아이폰 17 프로,번개장터,398688566,[미사용/특가] 아이폰17프로 번개장터 안전거래 가능,250000,판매중,https://m.bunjang.co.kr/products/398688566
아이폰 17프로,아이폰 17프로,1,아이폰 17 프로,번개장터,394805471,[아이폰 17프로] 어반소피스티케이션 크라잉 쿠로미,157000,판매중,https://m.bunjang.co.kr/products/394805471
"미개봉,새제품","미개봉,새제품",1,아이폰 17 프로,중고나라,227794406,"[미개봉,새제품]아이폰17프로 256G",1232000,판매중,https://web.joongna.com/product/227794406
KT,KT,1,아이폰 17,번개장터,355979576,아이폰17에어[KT](새상품/전색상/애플케어),788800,판매중,https://m.bunjang.co.kr/products/355979576
KT,KT,1,아이폰 17,번개장터,355975752,[KT]아이폰17(새상품/전색상/애플케어),498800,판매중,https://m.bunjang.co.kr/products/355975752
알뜰통신사,알뜰통신사,1,아이폰 17,번개장터,355957703,[알뜰통신사]아이폰17에어(새상품/전색상/정품),1084000,판매중,https://m.bunjang.co.kr/products/355957703
알뜰통신사,알뜰통신사,1,아이폰 17,번개장터,355954728,[알뜰통신사]아이폰17(새상품/전색상/미개봉 얼리버드 특가),787000,판매중,https://m.bunjang.co.kr/products/355954728
SKT,SKT,1,아이폰 17,번개장터,355979276,[SKT]아이폰17에어(새상품/전색상/애플케어),758800,판매중,https://m.bunjang.co.kr/products/355979276
SKT,SKT,1,아이폰 17,번개장터,355964266,[SKT]아이폰17(새상품/전색상/애플케어),599800,판매중,https://m.bunjang.co.kr/products/355964266
KT,KT,1,아이폰 17,번개장터,355953852,[KT]아이폰17(새상품/전색상/미개봉 얼리버드 특가),498800,판매중,https://m.bunjang.co.kr/products/355953852
KT,KT,1,아이폰 17,번개장터,355956105,[KT]아이폰17에어(새상품/전색상/미개봉 얼리버드 특가),758000,판매중,https://m.bunjang.co.kr/products/355956105
LG,LG,1,아이폰 17,번개장터,355976168,[LG]아이폰17(새상품/전색상/애플케어),498890,판매중,https://m.bunjang.co.kr/products/355976168
LG,LG,1,아이폰 17,번개장터,355980082,[LG]아이폰17에어(새상품/전색상/애플케어),689900,판매중,https://m.bunjang.co.kr/products/355980082
알뜰통신사,알뜰통신사,1,아이폰 17,번개장터,355980457,[알뜰통신사]아이폰17에어(새상품/전색상/애플케어),698800,판매중,https://m.bunjang.co.kr/products/355980457
알뜰통신사,알뜰통신사,1,아이폰 17,번개장터,355976650,[알뜰통신사]아이폰17(새상품/전색상/애플케어),798800,판매중,https://m.bunjang.co.kr/products/355976650
SKT,SKT,1,아이폰 17,번개장터,355955695,[SKT]아이폰17에어(새상품/전색상/미개봉 얼리버드 특가),859800,판매중,https://m.bunjang.co.kr/products/355955695
SKT,SKT,1,아이폰 17,번개장터,355951115,[SKT]아이폰17(새상품/전색상/미개봉 얼리버드 특가),787000,판매중,https://m.bunjang.co.kr/products/355951115
